run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.brier,metrics.model_size_bytes,metrics.precision,metrics.recall,metrics.fit_seconds,metrics.average_precision,metrics.f1,metrics.accuracy,metrics.log_loss,metrics.roc_auc,metrics.predict_ms_per_1k,params.max_depth,params.n_estimators,params.n_jobs,params.family,params.num_leaves,params.n_features,params.n_train,params.l2,params.learning_rate,params.dataset,tags.bakeoff_id,tags.mlflow.user,tags.family,tags.seed,tags.mlflow.source.name,tags.mlflow.source.type,tags.bakeoff,tags.has_feature_importance,tags.mlflow.runName,experiment,metrics.output_tokens,metrics.error_rate,metrics.quality_hard,metrics.quality_score,metrics.mean_ms,metrics.input_tokens,metrics.usd_per_1k_requests,metrics.p95_ms,metrics.n_requests,metrics.quality_easy,metrics.p50_ms,metrics.usd_total,metrics.tokens_per_sec,metrics.best_quality_score,metrics.n_variants,params.tier_easy,params.tier_hard,params.fixed_model,params.max_tokens,params.variant_kind,params.policy,tags.simulated,tags.variant_kind,tags.backend,tags.role
21c6550cbf9f4c6a996ff91afcf5aadd,1,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/1/21c6550cbf9f4c6a996ff91afcf5aadd/artifacts,2026-09-17 18:57:12.606000+00:00,2026-09-17 18:57:20.206000+00:00,0.1075489252031718,5328253.0,0.9658119658119658,0.13372781065088757,1.6359,0.6331495202533977,0.23492723492723494,0.8528,0.3577532020201739,0.8318148092766254,17.84,8,300,4,random_forest,0,24,15000,0,0,synthetic,20260917-135654,blik,random_forest,1729,experiments/tabular_bakeoff.py,LOCAL,tabular,true,random_forest_d8,jreq-tabular-bakeoff,,,,,,,,,,,,,,,,,,,,,,,,,
9186bf46ce544e28b69296711f0eb70d,1,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/1/9186bf46ce544e28b69296711f0eb70d/artifacts,2026-09-17 18:57:02.682000+00:00,2026-09-17 18:57:07.489000+00:00,0.12980873376987437,1841.0,0.5652173913043478,0.03076923076923077,0.0101,0.3364359488062649,0.058361391694725026,0.8322,0.4234507787731316,0.6793207015145365,0.12,0,0,4,logreg,0,24,15000,10.0,0,synthetic,20260917-135654,blik,logreg,1729,experiments/tabular_bakeoff.py,LOCAL,tabular,true,logreg_C0.1,jreq-tabular-bakeoff,,,,,,,,,,,,,,,,,,,,,,,,,
6abef60fc2d7452a92cdef9c67ed2c4b,1,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/1/6abef60fc2d7452a92cdef9c67ed2c4b/artifacts,2026-09-17 18:57:07.635000+00:00,2026-09-17 18:57:12.457000+00:00,0.12979572151313643,1841.0,0.5652173913043478,0.03076923076923077,0.0078,0.3364841804697888,0.058361391694725026,0.8322,0.42346364373872475,0.6793187077663612,0.12,0,0,4,logreg,0,24,15000,1.0,0,synthetic,20260917-135654,blik,logreg,1729,experiments/tabular_bakeoff.py,LOCAL,tabular,true,logreg_C1.0,jreq-tabular-bakeoff,,,,,,,,,,,,,,,,,,,,,,,,,
3849c9806f78441ab1436b0e5693463b,1,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/1/3849c9806f78441ab1436b0e5693463b/artifacts,2026-09-17 18:56:54.745000+00:00,2026-09-17 18:57:02.453000+00:00,0.1404390044444444,469.0,0.0,0.0,0.0004,0.169,0.0,0.831,0.45429705246197455,0.5,0.02,0,0,4,baseline,0,24,15000,0,0,synthetic,20260917-135654,blik,baseline,1729,experiments/tabular_bakeoff.py,LOCAL,tabular,false,baseline_majority,jreq-tabular-bakeoff,,,,,,,,,,,,,,,,,,,,,,,,,
cce4da6ee71240c3a043b71f124131e2,2,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/2/cce4da6ee71240c3a043b71f124131e2/artifacts,2026-09-17 19:05:16.229000+00:00,2026-09-17 19:05:16.742000+00:00,,,,,,,,,,,,,,,,,,,,,,20260917-140430,blik,,,experiments/router_bakeoff.py,LOCAL,router,,router::quality-first,jreq-router-bakeoff,93.0,0.0,1.0,0.96,252.13,922.0,0.0107,336.0,25.0,0.9167,190.89,0.000268,14.75,,,qwen.qwen3-next-80b-a3b,qwen.qwen3-235b-a22b-2507-v1:0,none,192,router,quality-first,false,router,bedrock,
b2319ce8bd7c4646b3d79c5d9912382e,2,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/2/b2319ce8bd7c4646b3d79c5d9912382e/artifacts,2026-09-17 19:05:14.293000+00:00,2026-09-17 19:05:14.780000+00:00,,,,,,,,,,,,,,,,,,,,,,20260917-140430,blik,,,experiments/router_bakeoff.py,LOCAL,router,,direct::qwen.qwen3-235b-a22b-2507-v1:0,jreq-router-bakeoff,93.0,0.0,1.0,0.96,333.51,922.0,0.0114,563.76,25.0,0.9167,259.12,0.000285,11.15,,,qwen.qwen3-235b-a22b-2507-v1:0,qwen.qwen3-235b-a22b-2507-v1:0,qwen.qwen3-235b-a22b-2507-v1:0,192,direct,none,false,direct,bedrock,
972d1c3397cb41fdad3f9f1f701cd7b7,2,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/2/972d1c3397cb41fdad3f9f1f701cd7b7/artifacts,2026-09-17 19:05:15.561000+00:00,2026-09-17 19:05:16.082000+00:00,,,,,,,,,,,,,,,,,,,,,,20260917-140430,blik,,,experiments/router_bakeoff.py,LOCAL,router,,router::balanced,jreq-router-bakeoff,108.0,0.0,0.9231,0.92,235.44,1023.0,0.0117,290.98,25.0,0.9167,207.38,0.000292,18.35,,,nvidia.nemotron-nano-12b-v2,qwen.qwen3-235b-a22b-2507-v1:0,none,192,router,balanced,false,router,bedrock,
2b4b29f896084ff994cbc3d5d37c18c1,2,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/2/2b4b29f896084ff994cbc3d5d37c18c1/artifacts,2026-09-17 19:05:14.905000+00:00,2026-09-17 19:05:15.424000+00:00,,,,,,,,,,,,,,,,,,,,,,20260917-140430,blik,,,experiments/router_bakeoff.py,LOCAL,router,,router::cheap-first,jreq-router-bakeoff,132.0,0.0,0.9231,0.92,223.45,1023.0,0.0117,355.65,25.0,0.9167,191.33,0.000294,23.63,,,nvidia.nemotron-nano-12b-v2,qwen.qwen3-next-80b-a3b,none,192,router,cheap-first,false,router,bedrock,
9e1b85ac95204325b857070372b71671,2,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/2/9e1b85ac95204325b857070372b71671/artifacts,2026-09-17 19:05:13.545000+00:00,2026-09-17 19:05:14.153000+00:00,,,,,,,,,,,,,,,,,,,,,,20260917-140430,blik,,,experiments/router_bakeoff.py,LOCAL,router,,direct::qwen.qwen3-next-80b-a3b,jreq-router-bakeoff,117.0,0.0,0.9231,0.92,199.42,922.0,0.0108,248.83,25.0,0.9167,183.15,0.000269,23.47,,,qwen.qwen3-next-80b-a3b,qwen.qwen3-next-80b-a3b,qwen.qwen3-next-80b-a3b,192,direct,none,false,direct,bedrock,
bffe5a8e13f340819b84a7236e65feba,2,FINISHED,s3://jreq-mlflow-artifacts-<account>-fe55e8/mlflow/2/bffe5a8e13f340819b84a7236e65feba/artifacts,2026-09-17 19:05:12.686000+00:00,2026-09-17 19:05:13.415000+00:00,,,,,,,,,,,,,,,,,,,,,,20260917-140430,blik,,,experiments/router_bakeoff.py,LOCAL,router,,direct::nvidia.nemotron-nano-12b-v2,jreq-router-bakeoff,135.0,0.0,0.7692,0.84,437.93,1104.0,0.0121,436.22,25.0,0.9167,206.24,0.000302,12.33,,,nvidia.nemotron-nano-12b-v2,nvidia.nemotron-nano-12b-v2,nvidia.nemotron-nano-12b-v2,192,direct,none,false,direct,bedrock,
